R2 score

+-------------------+------------------+--------------+-------------+---------------+
| обучение образцы  | тестовые образцы | Угол нашивки |  Layer Size | Number Layers |
+-------------------+------------------+--------------+-------------+---------------+
|        +1.00      |       -2.33      |         90   |        20   |       10      |
|        +0.99      |       -1.83      |          0   |        20   |       10      |
|        +0.99      |       -1.64      |         90   |        20   |       11      |
|        +0.99      |       -1.51      |          0   |        20   |       11      |
|        +0.99      |       -1.33      |         90   |        20   |       12      |
|        +0.98      |       -2.24      |          0   |        20   |       12      |
|        +0.99      |       -1.89      |         90   |        20   |       13      |
|        +0.95      |       -2.03      |          0   |        20   |       13      |
|        +0.99      |       -2.19      |         90   |        20   |       14      |
|        +0.99      |       -1.67      |          0   |        20   |       14      |
|        +1.00      |       -2.33      |         90   |        20   |       15      |
|        +0.99      |       -1.79      |          0   |        20   |       15      |
|        +0.99      |       -0.96      |         90   |        20   |       16      |
|        +0.98      |       -1.58      |          0   |        20   |       16      |
|        +1.00      |       -1.59      |         90   |        20   |       17      |
|        +0.99      |       -1.35      |          0   |        20   |       17      |
|        +0.95      |       -1.72      |         90   |        20   |       18      |
|        +0.99      |       -1.91      |          0   |        20   |       18      |
|        +0.99      |       -2.32      |         90   |        20   |       19      |
|        +0.98      |       -2.06      |          0   |        20   |       19      |
|        +1.00      |       -1.73      |         90   |        20   |       20      |
|        +0.99      |       -1.67      |          0   |        20   |       20      |
|        +0.98      |       -1.32      |         90   |        20   |       21      |
|        +0.99      |       -2.01      |          0   |        20   |       21      |
|        +0.99      |       -3.07      |         90   |        20   |       22      |
|        +0.94      |       -1.38      |          0   |        20   |       22      |
|        +0.98      |       -1.24      |         90   |        20   |       23      |
|        +0.98      |       -1.29      |          0   |        20   |       23      |
|        +0.96      |       -2.24      |         90   |        20   |       24      |
|        +1.00      |       -1.64      |          0   |        20   |       24      |
|        +0.96      |       -1.97      |         90   |        20   |       25      |
|        +0.99      |       -1.59      |          0   |        20   |       25      |
|        +0.80      |       -0.95      |         90   |        20   |       26      |
|        -0.01      |       -0.15      |          0   |        20   |       26      |
|        +0.97      |       -1.31      |         90   |        20   |       27      |
|        +0.98      |       -1.87      |          0   |        20   |       27      |
|        +0.97      |       -1.21      |         90   |        20   |       28      |
|        +0.78      |       -0.99      |          0   |        20   |       28      |
